KEY,en,ja,fr,nl,zh_TW,pl_pl,de,pt_br,uk_UA,ru_RU
TEXT_VERSION,"Version","バージョン","Version","Version","版本","Wersja","Version","Versão","Версія","Версия"
FILE_EXPLORER_TITLE_SELECT_FOLDER,"Select Project Folder","プロジェクトフォルダを選択してください","Sélectionner le dossier du projet","Selecteer project map","選擇專案位置","Wybierz folder projektu","Projekt Ordner auswählen","Selecione a Pasta do Projeto","Обрати теку проєкту","Выбрать папку проекта"
FILE_EXPLORER_CLOSE,"Close","閉じる","Fermer","Sluit","關閉","Zamknij","Schließen","Fechar","Закрити","закрыть"
FILE_EXPLORER_SELECT,"Select","選択","Sélectioner","Selecteer","選擇","Wybierz","Auswählen","Selecionar","Обрати","Выбрать"
BUTTON_CANCEL,"Cancel","キャンセル","Annuler","","取消","Anuluj","Abbrechen","Cancelar","Скасувати","Отменить"
BUTTON_CREATE,"Create","作成","Créer","","創建","Utwórz","Erstelle","Criar","Створити","Создать"
TAB_ABOUT,"About","情報","À propos","Info","關於","Info","Über","Sobre","Про додаток","Про приложение"
TAB_SETTINGS,"Settings","設定","Réglages","Instellingen","設定","Ustawienia","Einstellungen","Configurações","Налаштування","Настройки"
SETTING_TEXT_LANGUAGE,"Language","言語","Langue","Taal","語言","Język","Sprache","Idioma","Мова","Язык"
TOP_BAR_TOOLTIP_EDITOR_BUTTON,"Shows some editor information.","","Affiche quelques informations de l'éditeur.","","顯示編輯器資訊","","","Mostra algumas informações sobre o editor.","Показує деяку інформацію про редактор.","Показывает некоторую информацию про редактор."
TOP_BAR_TOOLTIP_PROJECT_SETTINGS_BUTTON,"Takes you to the project settings.","","Vous emmène à la configuration du projet.","","帶你前往專案設定","","","Leva você às configurações do projeto.","Відправить вас до налаштувань проєкту.","Отправит вас в настройки проекта."
TOP_BAR_TOOLTIP_EDITOR_SETTINGS_BUTTON,"Takes you to the editor settings.","","Vous emmène à la configuration de l'éditeur.","","帶你前往編輯器設定","","","Leva você às configurações do editor.","Відправить вас до налаштувань редактору.","Отправит вас в настройки редактора."
POPUP_EXIT_SAVE_TEXT,"Do you want to save the project?","プロジェクトを保存しますか？","Voulez-vous sauvegarder le projet ?","","你需要儲存專案嗎?","","","","Бажаєте зберегти проєкт?","Желаете сохранить проект?"
EMPTY,"","","","","","","","","",""
